,id,city,category,district,size,year of construction,number of rooms,floor,Total floors,elevator,parking,storage,date,price per meter (Toman),total price (Toman)
0,AZSONkq6,tehran,buy-apartment,ekhtiarieh,101,1400,2,2,4,yes,yes,yes,2023-06-21,"168,316,000","17,000,000,000"
1,AZSSNLZL,tehran,buy-apartment,yousef-abad,107,1394,2,4,5,yes,yes,yes,2023-06-21,"119,439,000","12,780,000,000"
2,AZSSNSO-,tehran,buy-apartment,punak,66,1389,2,2,NA,no,yes,yes,2023-06-21,"83,333,000","5,500,000,000"
3,AZOCMUKn,tehran,buy-apartment,south-jannat-abad,173,1402,3,3,5,yes,yes,yes,2023-06-21,"152,601,000","26,400,000,000"
4,AZRO9JIr,tehran,buy-apartment,jeyhoon,62,1381,1,1,5,no,yes,yes,2023-06-21,"60,000,000","3,720,000,000"
5,AZR-7P9D,tehran,buy-apartment,tehran-zanjan,44,1402,1,2,4,yes,yes,yes,2023-06-21,"70,454,000","3,100,000,000"
6,AZNaG5JZ,tehran,buy-apartment,towhid,128,1378,2,2,3,no,no,yes,2023-06-21,"42,890,000","5,490,000,000"
7,AZJmW5Uq,tehran,buy-apartment,sattarkhan,91,1401,2,4,NA,yes,yes,yes,2023-06-21,"115,274,000","10,490,000,000"
8,AZO-bej_,tehran,buy-apartment,velenjak,250,1400,3,1,7,yes,yes,yes,2023-06-21,"311,600,000","77,900,000,000"
9,AZJ-GN6K,tehran,buy-apartment,daryan-no,89,1383,2,2,4,no,yes,yes,2023-06-21,"66,179,000","5,890,000,000"
10,AZEyTIFO,tehran,buy-apartment,chitgar,120,1402,2,18,NA,yes,yes,yes,2023-06-21,"12,500,000","1,500,000,000"
11,AZFie0-l,tehran,buy-apartment,meydan-horr,106,1402,2,3,5,yes,yes,yes,2023-06-21,"92,452,000","9,800,000,000"
12,AZSOd1o7,tehran,buy-apartment,jordan,270,qbl z 1370,4,2,NA,yes,yes,yes,2023-06-21,"129,629,000","35,000,000,000"
13,AZNaLyJw,tehran,buy-apartment,sohrevardi,105,1401,2,5,5,yes,yes,yes,2023-06-21,"97,142,000","10,200,000,000"
14,AZAeLVrX,tehran,buy-apartment,sazman-barnameh,77,1382,2,1,4,no,yes,no,2023-06-21,"96,103,000","7,400,000,000"
15,AZSON0DE,tehran,buy-apartment,darrous,140,1397,3,4,NA,yes,yes,yes,2023-06-21,"250,000,000","35,000,000,000"
16,AZSqcHmr,tehran,buy-apartment,west-tehran-pars,92,1399,2,1,5,yes,yes,yes,2023-06-21,"91,304,000","8,400,000,000"
17,AZLSRia5,tehran,buy-apartment,chitgar,98,1402,2,10,15,yes,yes,yes,2023-06-21,"13,000,000","1,274,000,000"
18,AZRGF3HL,tehran,buy-apartment,south-jannat-abad,100,1402,2,16,NA,yes,yes,yes,2023-06-21,"15,000,000","1,500,000,000"
19,AZ_xAeA6,tehran,buy-apartment,abazar,100,1383,2,3,NA,no,yes,yes,2023-06-21,"79,500,000","7,950,000,000"
20,AZSO9ZGf,tehran,buy-apartment,masoodieh,66,1401,2,1,5,yes,yes,yes,2023-06-21,"58,333,000","3,850,000,000"
21,AZR-V0S0,tehran,buy-apartment,mobarak-abad-beheshti,68,1402,1,3,NA,yes,yes,yes,2023-06-21,"29,000,000","1,972,000,000"
22,AZSOtpwU,tehran,buy-apartment,zafaraniyeh,193,1393,3,5,NA,yes,yes,yes,2023-06-21,"233,160,000","45,000,000,000"
23,AZMyKoEf,tehran,buy-apartment,seyyed-khandan,140,1387,3,3,NA,yes,yes,yes,2023-06-21,"103,571,000","14,500,000,000"
24,AZSS9Azo,tehran,buy-apartment,south-shahran,85,1392,2,1,NA,yes,yes,yes,2023-06-21,"80,000,000","6,800,000,000"
25,AZSStuG0,tehran,buy-apartment,west-tehran-pars,85,1382,2,3,5,yes,yes,yes,2023-06-21,"89,411,000","7,600,000,000"
26,AZSStntQ,tehran,buy-apartment,fadak,59,1378,1,1,NA,no,no,no,2023-06-21,"83,898,000","4,950,000,000"
27,AZSSt0gZ,tehran,buy-apartment,majid-abad,78,1399,2,1,5,yes,yes,yes,2023-06-21,"81,410,000","6,350,000,000"
28,AZSW9VoZ,tehran,buy-apartment,javadiyeh,50,1383,1,3,NA,no,no,yes,2023-06-21,"41,000,000","2,050,000,000"
29,AZxYhvzB,tehran,buy-apartment,kuy-ferdows,100,1400,2,1,NA,yes,yes,yes,2023-06-21,"130,000,000","13,000,000,000"
30,AZNe7kmV,tehran,buy-apartment,punak,88,1396,2,4,NA,yes,yes,yes,2023-06-21,"100,909,000","8,880,000,000"
31,AZrJHsNk,tehran,buy-apartment,north-shahran,67,1402,1,2,5,yes,yes,yes,2023-06-21,"105,223,000","7,050,000,000"
32,AZH6AJdC,tehran,buy-apartment,towhid,77,1402,2,2,4,yes,yes,yes,2023-06-21,"108,831,000","8,380,000,000"
33,AZQaHhAC,tehran,buy-apartment,shademan,78,1397,2,2,5,yes,yes,yes,2023-06-21,"88,461,000","6,900,000,000"
34,AZSaNobx,tehran,buy-apartment,bagh-feyz,112,1392,2,2,5,yes,yes,yes,2023-06-21,"104,910,000","11,750,000,000"
35,AZF-3KdI,tehran,buy-apartment,punak,80,1388,2,1,4,yes,yes,yes,2023-06-21,"96,250,000","7,700,000,000"
36,AZSSNRZo,tehran,buy-apartment,piroozi,99,1383,2,2,4,no,yes,yes,2023-06-21,"83,000,000","8,217,000,000"
37,AZSatSeg,tehran,buy-apartment,havanirooz,121,1402,2,6,NA,yes,yes,yes,2023-06-21,"727,272,000","88,000,000,000"
38,AZSatdDu,tehran,buy-apartment,shahr-ziba,88,1396,2,1,9,yes,yes,yes,2023-06-21,"88,636,000","7,800,000,000"
39,AZtR3T7C,tehran,buy-apartment,haftchenar,42,1396,1,hmkhf,3,no,no,yes,2023-06-21,"64,285,000","2,700,000,000"
40,AZEa-6U6,tehran,buy-apartment,mobarak-abad-beheshti,60,1399,1,3,NA,yes,no,yes,2023-06-21,"32,233,000","1,934,000,000"
41,AZSWt4yA,tehran,buy-apartment,shams-abad,103,1397,2,5,NA,yes,yes,yes,2023-06-21,"124,271,000","12,800,000,000"
42,AZAaGmlO,tehran,buy-apartment,shahr-ziba,108,1387,2,3,NA,yes,yes,yes,2023-06-21,"74,074,000","8,000,000,000"
43,AZSCQEoO,tehran,buy-apartment,masoodieh,62,1395,2,4,NA,yes,yes,yes,2023-06-21,"45,161,000","2,800,000,000"
44,AZPyiwjr,tehran,buy-apartment,mobarak-abad-beheshti,64,1402,2,1,NA,yes,yes,yes,2023-06-21,"27,968,000","1,790,000,000"
45,AZNimKw0,tehran,buy-apartment,andisheh,48,1396,1,2,NA,yes,yes,yes,2023-06-21,"32,291,000","1,550,000,000"
46,AZSaNHO-,tehran,buy-apartment,punak,60,1387,1,2,NA,yes,no,yes,2023-06-21,"89,166,000","5,350,000,000"
47,AZQylSrw,tehran,buy-apartment,sattarkhan,77,1392,2,5,5,yes,yes,yes,2023-06-21,"107,142,000","8,250,000,000"
48,AZEKStkM,tehran,buy-apartment,sattarkhan,62,1394,1,5,5,yes,yes,yes,2023-06-21,"117,741,000","7,300,000,000"
49,AZSaNHo8,tehran,buy-apartment,ghanat-kowsar,93,1380,2,1,4,no,yes,yes,2023-06-21,"85,483,000","7,950,000,000"
50,AZRuV3ek,tehran,buy-apartment,niavaran,200,1382,4,1,3,no,yes,yes,2023-06-21,"400,000,000","80,000,000,000"
51,AZ4x8u25,tehran,buy-apartment,hashemi,52,1398,2,3,5,yes,no,yes,2023-06-21,"69,230,000","3,600,000,000"
52,AZRSe_iL,tehran,buy-apartment,soleymani,47,1395,1,1,4,yes,yes,yes,2023-06-21,"58,085,000","2,730,000,000"
53,AZSaNBEV,tehran,buy-apartment,dehkadeh-olympic,148,1402,3,12,16,yes,yes,yes,2023-06-21,"90,000,000","13,320,000,000"
54,AZSaNCFL,tehran,buy-apartment,zafar,87,1401,2,2,5,yes,yes,yes,2023-06-21,"143,678,000","12,500,000,000"
55,AZ41Tt2f,tehran,buy-apartment,punak,65,1395,1,2,NA,yes,yes,yes,2023-06-21,"110,769,000","7,200,000,000"
56,AZQWqWz_,tehran,buy-apartment,kuy-ferdows,125,1386,3,3,5,yes,yes,yes,2023-06-21,"101,200,000","12,650,000,000"
57,AZS66CTB,tehran,buy-apartment,salsabil,54,1380,1,2,NA,no,yes,yes,2023-06-21,"59,259,000","3,200,000,000"
58,AZOKMudu,tehran,buy-apartment,sattarkhan,100,1402,2,3,NA,yes,yes,yes,2023-06-21,"137,000,000","13,700,000,000"
59,AZQymSAX,tehran,buy-apartment,niavaran,102,1387,2,2,5,yes,yes,yes,2023-06-21,"151,960,000","15,500,000,000"
60,AZSaNvQG,tehran,buy-apartment,ostad-moein,125,1399,2,3,5,yes,yes,yes,2023-06-21,"82,400,000","10,300,000,000"
61,AZ8BY7gS,tehran,buy-apartment,punak,73,1387,2,3,NA,no,yes,yes,2023-06-21,"73,287,000","5,350,000,000"
62,AZAe462k,tehran,buy-apartment,heravi,120,1400,3,1,NA,yes,yes,yes,2023-06-21,"98,333,000","11,800,000,000"
63,AZQiBtxV,tehran,buy-apartment,south-jannat-abad,99,1400,2,4,5,yes,yes,yes,2023-06-21,"141,414,000","14,000,000,000"
64,AZSeNBGk,tehran,buy-apartment,imamzadeh-hasan,86,1400,2,1,NA,yes,yes,yes,2023-06-21,"55,813,000","4,800,000,000"
65,AZSa9tjg,tehran,buy-apartment,shahrak-gharb,102,1393,2,1,NA,yes,yes,yes,2023-06-21,"182,352,000","18,600,000,000"
66,AZDCwneN,tehran,buy-apartment,central-jannat-abad,65,1400,1,3,NA,yes,yes,yes,2023-06-21,"101,538,000","6,600,000,000"
67,AZSatnqj,tehran,buy-apartment,amir-abad,125,1397,2,1,NA,yes,yes,yes,2023-06-21,"119,040,000","14,880,000,000"
68,AZSedBzc,tehran,buy-apartment,seyyed-khandan,140,1388,3,3,5,yes,yes,yes,2023-06-21,"128,571,000","18,000,000,000"
69,AZSadTLZ,tehran,buy-apartment,nezam-abad,65,1401,1,4,4,yes,no,yes,2023-06-21,"64,000,000","4,160,000,000"
70,AZSadoSg,tehran,buy-apartment,heravi,210,1402,3,4,NA,yes,yes,yes,2023-06-21,"142,857,000","30,000,000,000"
71,AZGic3zB,tehran,buy-apartment,chitgar,241,1402,4,1,NA,yes,yes,yes,2023-06-21,"26,556,000","6,400,000,000"
72,AZSat8ux,tehran,buy-apartment,salsabil,54,1392,1,1,NA,yes,no,yes,2023-06-21,"59,259,000","3,200,000,000"
73,AZIiTDdF,tehran,buy-apartment,west-tehran-pars,100,1394,2,4,5,yes,yes,yes,2023-06-21,"90,000,000","9,000,000,000"
74,AZ9Ba7yJ,tehran,buy-apartment,shahrak-rahahan,114,1399,2,7,NA,yes,yes,yes,2023-06-21,"110,964,000","12,650,000,000"
75,AZKiuYGv,tehran,buy-apartment,shahid-rajaie,68,1391,2,4,4,no,no,yes,2023-06-21,"37,058,000","2,520,000,000"
76,AZSaNe4Q,tehran,buy-apartment,niavaran,210,1402,3,3,6,yes,yes,yes,2023-06-21,"345,238,000","72,500,000,000"
77,AZPu_Iuo,tehran,buy-apartment,north-jannat-abad,79,1383,2,3,4,no,yes,yes,2023-06-21,"62,658,000","4,950,000,000"
78,AZS27DGu,tehran,buy-apartment,farmanieh,165,1382,3,1,4,yes,yes,yes,2023-06-21,"181,818,000","30,000,000,000"
79,AZ0553oo,tehran,buy-apartment,punak,85,1388,2,hmkhf,NA,yes,yes,yes,2023-06-21,"117,647,000","10,000,000,000"
